t
11166
68665
2814
46995
45390
108478
108457
38523
181
22815
180
36561
40057
7361
29193
7501
11165
30056
38740
11160
29894
64872
7841
70474
5050
104140
8626
10990
69589
109136
29409
106212
16957
77625
152
93619
38812
82179
82506
97677
8191
76451
5079
20135
105110
55898
104705
10989
72244
2578
87538
13631
46698
13632
92590
50088
17468
21365
72046
43
92561
99052
72280
310
885
884
75493
106833
98665
98890
100039
66560
7234
92146
82449
73541
4856
99673
99663
99655
72227
99378
106144
101539
79593
2798
100044
72095
79877
97392
75272
5829
27163
92197
101641
6149
74101
91634
91753
91638
72268
67154
65938
17516
8847
66195
98677
9774
67137
98692
163
88729
88494
6961
14591
41018
92509
16478
99522
16736
78064
33516
29007
6596
64943
21134
35336
21875
35452
7345
103409
275
104827
1038
39526
21895
23421
6443
5158
47636
364
4562
1542
24341
130
101027
100773
3140
20983
64856
5479
94120
37680
2789
46081
74938
5623
94415
64744
69
16628
39166
77172
93173
77619
38965
99567
97528
99544
27318
24585
99930
20303
48232
2306
2583
11145
99930
77
7740
78
100506
76741
65151
81
90844
106892
37287
2342
4806
5183
87224
65673
27098
64173
65801
106915
7411
92387
6532
70956
64423
3648
39015
106826
92198
97698
64448
64451
29359
104637
15205
659
467
92171
10886
9543
8755
10875
8560
5141
7210
65077
38810
83593
152
2122
7926
38911
549
76184
87479
10881
2044
64520
64519
57780
648
13683
13685
8529
38980
108342
108337
98289
13485
8851
26592
88830
88846
9626
556
102151
1600
104528
76063
459
78218
141
27482
9461
64580
118
64575
121
9881
121
64598
675
4157
106156
103805
2185
20125
64623
64138
2998
50716
645
72822
10806
9117
53628
92312
21445
62659
3410
100888
64674
7873
8869
3722
14456
6858
103204
30206
101992
135
64332
91511
76686
14421
105054
8245
87611
1863
59274
64755
146
672
65274
170
100542
78218
101541
83593
104632
72226
104272
3527
101683
1067
73522
8142
100027
10961
10978
10957
10949
78153
18932
20125
8182
24039
56694
71787
17112
16513
54995
9630
11120
70841
10975
92388
109481
65163
30775
7303
92326
108302
34468
102740
38802
53379
76963
72159
14440
104846
103481
4646
78155
374
74252
101876
76836
6700
8537
59541
16301
91338
92095
65014
65013
1244
6564
65047
65050
8257
268
43990
4873
7790
85025
64953
19083
64849
75080
108683
97618
72110
100697
108838
98561
106139
71988
92200
6086
3323
6989
6027
1515
2164
94278
97567
92559
2932
99294
9951
40476
11168
107338
76780
11164
108476
31803
11163
8995
108474
108471
108461
216
108459
11167
101040
108456
7838
2301
16356
3540
74195
10960
10955
91964
3090
91964
73071
10945
72008
35378
108415
27123
9632
72025
355
826
843
72226
84907
55734
27689
92568
82213
1937
79084
102317
11063
66326
37700
66137
607
108621
6120
39144
92147
90859
30817
103491
49875
47875
102144
98477
9918
9650
105239
1478
80833
65346
38607
103915
100590
83321
66335
54190
92201
97556
93472
64005
66094
23939
98558
72006
24091
98358
65914
83216
